topicTitle,chapterTitle
"ข้อมูล ฐานข้อมูล และระบบจัดการฐานข้อมูล (Data, Database, and Database Management System)","1. Introduction to Database System"
"แนวคิดฐานข้อมูล (Database Approach)","1. Introduction to Database System"
"สภาพแวดล้อมของระบบฐานข้อมูล (Database System Environment)","1. Introduction to Database System"
"แบบจำลองข้อมูล (Data Models)","1. Introduction to Database System"
"คำอธิบายโครงสร้างฐานข้อมูล และข้อมูลในฐานข้อมูล (Schemas & Instances)","1. Introduction to Database System"
"ภาษาสำหรับฐานข้อมูล (Database Languages)","1. Introduction to Database System"
"วิวัฒนาการของระบบฐานข้อมูล (Evolution of Database Systems)","3. Database Design using ER Model"
ความสำคัญของการออกแบบฐานข้อมูล,"3. Database Design using ER Model"
เป้าหมายการออกแบบฐานข้อมูล,"3. Database Design using ER Model"
"กระบวนการออกแบบฐานข้อมูล (Database Design Processes)","3. Database Design using ER Model"
"การจำลองข้อมูลโดยใช้ Entity Relationship (ER) Model","3. Database Design using ER Model"
"บทเกริ่นนำ (Introduction)","5. Database Design using EER Model"
"Superclass/Subclass และ Inheritance","5. Database Design using EER Model"
Specialization/Generalization,"5. Database Design using EER Model"
"Constraints on Specialization and Generalization","5. Database Design using EER Model"
"Specialization Hierarchy","5. Database Design using EER Model"
"แนวทางของกระบวนการออกแบบสำหรับ EER","5. Database Design using EER Model"
การแปลงแบบจำลองอีอี-อาร์ไปสู่แบบจำลองเชิงสัมพันธ์,"5. Database Design using EER Model"
"Logical design Superclass Subclass Overlap","5. Database Design using EER Model"
"Logical design Superclass Subclass Total Participation","5. Database Design using EER Model"
"แนวคิดแบบจำลองเชิงสัมพันธ์ (Relational Model Concepts)","2  Relational Data Model"
"เงื่อนไขบังคับของแบบจำลองเชิงสัมพันธ์ (Relational Model Constraints)","2  Relational Data Model"
"Schema-based constraints","2  Relational Data Model"
"Operation and Transaction Concepts","2  Relational Data Model"
"ตัวดำเนินการสำหรับแบบจำลองเชิงสัมพันธ์ (Operations for the Relational Model)","2  Relational Data Model"
"Relational Algebra","2  Relational Data Model"
"Relational Calculus","2  Relational Data Model"
"การแปลงแบบจำลองอี-อาร์ ไปสู่แบบจำลองเชิงสัมพันธ์","4. Logical Design: Data Model Mapping"
"ประเภทของข้อมูล (Data Types)","4. Logical Design: Data Model Mapping"
"สรุปการเลือกใช้ประเภทข้อมูลใน 5 นาที","4. Logical Design: Data Model Mapping"
"Logical design Multivalued1","4. Logical Design: Data Model Mapping"
"Logical design Multivalued2","4. Logical Design: Data Model Mapping"
"Logical design N-ary","4. Logical Design: Data Model Mapping"
"Logical Design Technique","4. Logical Design: Data Model Mapping"
"Logical design Total Participation and Not Null Constraint","4. Logical Design: Data Model Mapping"
